Código,Utilização
42 37,"346para irrita“‰o ocular, especialmente aquela associada a dor de"
71 81,533para dores nas costas em geral
87 47,838para problemas com o nervo ci⁄tico
78 78,833para prolapso de disco intervertebral
89 87,438para um disco intervertebral protuberante ou herniado
15 35,991para s™ndrome de dor regional complexa (SDRC)
45 46,162cobreiro (v™rus varicela-zŠster ou herpes zŠster)
91 278,596para pensamentos obsessivos sobre o controle da dor
92 367,9342para fechar os receptores da porta da dor ligados ‹
78 89,535para primeiros socorros em casos de AVC a caminho do
54 32,175para recupera“‰o de um acidente vascular cerebral (AVC)
69 78,"55123para lembrar como comer, mastigar e engolir apŠs les‰o"
66 51,"816para quem sofre de les‰o cerebral anŠxica, para que comece a"
33 45,634para danos celulares de qualquer tipo
88 33,421para deÞci’ncia auditiva e surdez
46 19,551para presbiacusia (perda auditiva com a idade)
87 89,114para Esclerose Lateral AmiotrŠÞca
41 57,051para a recupera“‰o da S™ndrome de Guillain-Barr” e todas as
53 59,816para DistroÞa Muscular da Cintura dos Membros (LGMD)
45 96,151para esclerose mœltipla em geral
19 86,116para esclerose mœltipla recorrente e remitente
81 23,7961para Doen“a de Parkinson
25 49,563para dem’ncia de Alzheimer (pode ser usado em conjunto com 29
07 43,131para diabetes ins™pida
65 57,142para neuropatia e danos nos nervos de todas as causas
69 78,"55123para lembrar como comer, mastigar e engolir apŠs les‰o"
72 52,594para restaurar a for“a de preens‰o (perda de preens‰o nas m‰os)
98 72,7458para neuralgia do trig’meo
11 21,495para insŽnia de longa data
56 17,"112para insŽnia situacional, devido a ru™do, viagens, calor"
46 19,207para insŽnia que ” devida a um enorme estresse de vida e
33 72,413para dislexia e outros distœrbios de aprendizagem
40 04,100para vertigem (voc’ sente como se a sala estivesse girando)
30 13,103para aliviar tonturas
23 66 182 973 437,9 para paralisia
23 22 941 760,9395para esquecimentos di⁄rios e extravio de coisas
56 17,998para aqueles que atingiram a sobriedade para evitar reca™das
01 61,510para aqueles que sofrem de depend’ncia de todos os tipos e para
55 65,569para aqueles que t’m problemas de controle da raiva e para
78 19,335para transtorno alimentar
25 65,993para obesidade mŠrbida e todas as suas sequelas
99 61,553para curar toda a depend’ncia do fumo Ñ tabaco e op“łes sem-
91 278,596para pensamentos obsessivos sobre o controle da dor
92 367,9342para fechar os receptores da porta da dor ligados ‹
40 50,666para agorafobia
11 66,767para ansiedade e medo de procedimentos m”dicos
11 25,612para ansiedade de hospitais e saœde em geral
33 49,586por ansiedade devido ‹ separa“‰o entre m‰e e Þlho; por saudade
64 07,"991para roer unhas, arrancar cabelos e outros tipos de"
25 36,933para transtorno de ansiedade generalizada (TAG)
53 14,80853para a trai“‰o e as feridas da trai“‰o
99 61,378para consola“‰o e conforto ‹ alma que sŠ a M‰e Divina pode dar
96 93,587para incapacidade de aceitar a morte
88 75,369para completar a Transi“‰o com gra“a e facilidade
21 46,015para a resposta psicolŠgica de 'congelamento' ao trauma quando
11 66,518para hipervigil›ncia associada ao TEPT (Transtorno do estresse
12 31,511para dissocia“‰o associada ao TEPT
56 11,213para apagar memŠrias do que n‰o ” certo para voc’; aquilo que
10 23,519para catastroÞza“‰o
11 11,115para mitigar o choque e o terror que acompanham cat⁄strofes de
72 84,555para ataques de p›nico
25 37,"536para memŠrias dolorosas do passado, tanto conscientes como"
21 35,619para abandonar o apego ao que ” assustador (parar de ruminar e
19 66,551para ansiedade de falar em pœblico
55 16,987para prote“‰o espiritual contra agressores (bullying)
25 33,698para v™timas de viol’ncia dom”stica
56 117,571para aqueles que intimidam os outros serem preenchidos com
04 73,732para ajudar a manter a compostura quando tudo parece estar lhe
11 96,888para uma baixa autoestima se tornar uma autoimagem saud⁄vel
96 15,"646para estudantes, empregados, pais e autŽnomos que suportam"
29 63,586para depress‰o em crian“as e adultos
22 26,111para depress‰o pedi⁄trica e adolescente
51 56,886para aumentar a motiva“‰o onde h⁄ pouca ou nenhuma
15 28,051para situa“łes em que os pais 'empurram' os seus Þlhos para se
08 08,316para desmoraliza“‰o ou perda de moral
25 39 561,615para esperar uma vida melhor em todos os sentidos e
92 03,179para anorexia de todas as causas
25 39,"579para transtorno bipolar, mania"
96 15,581para transtorno de personalidade borderline
51 56,931para quem se cortar ou ferir de alguma forma
64 07,"991para roer unhas, arrancar cabelos e outros tipos de"
25 36,933para transtorno de ansiedade generalizada (TAG)
97 96,533para transtorno de personalidade narcisista
22 33,516para desequil™brio de neurotransmissores
06 06,119para transtorno desaÞador de oposi“‰o (TOD)
25 37,"536para memŠrias dolorosas do passado, tanto conscientes como"
22 26,111para depress‰o pedi⁄trica e adolescente
86 42,789para crian“as com distœrbios comportamentais extraordin⁄rios
16 612 485,97895para Transtorno do D”Þcit de Aten“‰o e Hiperatividade
13 31,413para esquizofrenia
99 69,158para sentimentos de abandono
28 34,515para Þcar alerta enquanto estiver acordado at” tarde no trabalho
55 65,569para aqueles que t’m problemas de controle da raiva e para
92 03,179para anorexia de todas as causas
53 14,80853para a trai“‰o e as feridas da trai“‰o
55 16,987para prote“‰o espiritual contra valentłes (bullying)
45 892 456 7478,69925para limpar emo“łes negativas
99 61,378para consola“‰o e conforto ‹ alma que sŠ a M‰e Divina pode dar
45 826 9994,5789para aumentar o ßuxo criativo e a inspira“‰o
33 72,413para dislexia e outros distœrbios de aprendizagem
16 23,"948para superar o caos, a confus‰o, a distra“‰o e o atraso"
83 48,"806para resist’ncia, para perseverar, para correr a corrida para"
16 16,714para facilitar a adapta“‰o ao que ” novo Ñ para abra“ar e acolher
31 76,981para facilitar a interpreta“‰o da din›mica social do grupo e como
45 88,623para foco
22 26,980para foco e clareza mental
21 46,015para a resposta psicolŠgica de 'congelamento' ao trauma quando
51 86,923para aterramento
65 62,"792para harmonia, perd‰o e resolu“‰o apŠs conßito com outros"
25 67,993para se divertir! e uma vis‰o mais positiva
96 55,"178para que a esperan“a ßua de voc’ para os outros em um grupo,"
24 824,9625para aumentar a motiva“‰o
51 56,886para aumentar a motiva“‰o onde h⁄ pouca ou nenhuma
23 65,189para dar passos ‹ frente quando h⁄ hesita“‰o tal qual uma
80 80,561para a hesita“‰o daqueles que esperam e se demoram para se
56 11,213para apagar memŠrias do que n‰o ” certo para voc’; aquilo que
99 61,546para ajudar na perda de emprego e recupera“‰o de emprego (para
11 96,888para baixa autoestima se tornar uma autoimagem saud⁄vel
64 07,"991para roer unhas, arrancar cabelos e outros tipos de"
96 15,"646para estudantes, empregados, pais e autŽnomos que suportam"
72 84,555para ataques de p›nico
29 37,651para desorganiza“‰o crŽnica e procrastina“‰o
42 84,899para maior capacidade de ser paciente
76 33,121para pensamentos problem⁄ticos
18 62,398para ser mais proÞssional no comportamento e na perspectiva
19 66,551para ansiedade de falar em pœblico
56 11,926para ajudar os pais cujos Þlhos est‰o na adolesc’ncia a lidar com
22 21,568para dissipar o ressentimento e troc⁄-lo pela vibra“‰o de paz
84 72,167para que o amor-prŠprio e a autoestima aumentem para um Štimo
51 34,"581para brilhar intensamente a sua luz, n‰o importa o que esteja"
04 73,732para ajudar a manter a compostura quando tudo parece estar lhe
13 13,514para al™vio do estresse/relaxamento
05 50,561para acalmar o estresse
24 27,"483para reiniciar (” como apertar o bot‰o ""reiniciar"" Ñ d⁄ a voc’ um"
25 39 561,615para esperar uma vida melhor em todos os sentidos e
03 05,791para que tudo aconte“a da melhor forma e que tenhamos
33 96,815para bem-estar
21 21,817para ter disponibilidade para enfrentar novos desaÞos e interesse
35 42,888para for“a de vontade
73 75,766para que sua crian“a interior ferida receba a gra“a de comunicar
96 13,"756para atender transexuais, travestis e pessoas em situa“‰o de"
44 70,"831para aumentar o esp™rito de descoberta, aventura e entusiasmo"
22 33,586para que os marginalizados sociais sintam o Amor e o apoio do
51 56,321para aqueles que est‰o sobrecarregados e sentem 'tudo vindo em
16 36,"893para reverter os efeitos da exposi“‰o ‹ viol’ncia na m™dia,"
44 44,444para despertar para todas as coisas angelicais
89 65,215para aceita“‰o do Que … Ñ sua contribui“‰o para sua situa“‰o de
56 117,571para aqueles que intimidam os outros serem preenchidos com
56 78,321para identiÞcar facilmente a assinatura energ”tica de outro
65 62,"792para harmonia, perd‰o e resolu“‰o apŠs conßito com outros"
08 22,517para experimentar felizes para sempre Ñ o seu Þnal pessoal e em
21 21,"653para CONHECER os desejos do cora“‰o, livre de pensamentos"
45 826 9994,5789para aumentar o ßuxo criativo e a inspira“‰o
45 892 456 7478,69925para limpar emo“łes negativas
22 21,568para dissipar o ressentimento e troc⁄-lo pela vibra“‰o de paz
25 19,876para que os perdidos e socialmente isolados encontrem o seu
84 72,167para que o amor-prŠprio e a autoestima aumentem para um Štimo
56 11,213para apagar memŠrias do que n‰o ” certo para voc’; aquilo que
24 824,9625para aumentar a motiva“‰o
23 65,189para dar passos ‹ frente quando h⁄ hesita“‰o tal qual uma
51 34,"581para brilhar intensamente a sua luz, n‰o importa o que esteja"
99 25,881para que as pessoas Þquem t‰o cheias de amor e respeito por
18 51,350para experimentar a energia do mar quando se est⁄ longe do
24 58,972para melhorar os sintomas da fadiga crŽnica
51 56,886para aumentar a motiva“‰o onde h⁄ pouca ou nenhuma
96 15,"646para estudantes, empregados, pais e autŽnomos que suportam"
11 21,495para insŽnia de longa data
56 17,"112para insŽnia situacional, devido a ru™do, viagens, calor"
53 14,80853para a trai“‰o e as feridas da trai“‰o
55 69,872para pensamento suicida (idea“‰o)
51 51,517por tentativa de suic™dio
82 19,576para v™timas de cyberbullying
55 16,987para prote“‰o espiritual contra valentłes
22 26,111para depress‰o pedi⁄trica e adolescente
15 28,051para situa“łes em que os pais 'empurram' os seus Þlhos para se
88 22,"531para aqueles que s‰o alvo de Šdio por serem ""diferentes"""
51 56,931para quem se cortar ou ferir de alguma forma
22 33,586para que os marginalizados sociais sintam o Amor e o apoio do
51 56,321para aqueles que est‰o sobrecarregados e sentem 'tudo vindo em
33 89,847para otimizar a fun“‰o das vias a”reas
45 64,686para alinhar e endireitar os dentes
42 12,993para gengivite
42 66,953para sangramento nas gengivas
35 41,553para dor de dente
22 55,732para seios da face
44 88,772para faringite (dor de garganta)
52 18,913para faringite por gotejamento pŠs-nasal com sinusite crŽnica
80 13,494para amigdalite
51 86,256para tumores da gl›ndula parŠtida
12 66,523para torcicolo
59 89,123para s™ndrome do desÞladeiro tor⁄cico
46 19,551para presbiacusia (perda auditiva com a idade)
88 33,421para dureza auditiva e surdez
77 78,177para catarata do cristalino do olho
77 78,"176para glaucoma, press‰o alta dentro do olho"
42 37,"346para irrita“‰o ocular, especialmente aquela associada a dor de"
44 37,224para conjuntivite
45 82,531para 'olho rosa' Ñ conjuntivite grave e recorrente
13 78,887para ter“ol
00 77,106para fadiga ocular
24 17,158para hipermetropia (hipermetropia)
76 14,182para miopia (miopia)
99 65,491para vis‰o deÞciente e cegueira de todas as causas
67 13,134para melhorar a fun“‰o adrenal
31 25,065para diminuir a s™ndrome de Cushing e os efeitos secund⁄rios de
44 34,131para diabetes e equil™brio do n™vel de insulina
44 34,135para œlcera diab”tica/infec“‰o dos p”s
15 31,"916para o pr”-diab”tico, para algu”m com risco muito alto de"
25 65,993para obesidade mŠrbida e todas as suas sequelas
97 48,784para aumentar a fun“‰o da hipŠÞse
93 19,"162para coordenar, fortalecer e melhorar o eixo hipot⁄lamo-pituit⁄ria"
15 24,191para regular a produ“‰o do hormŽnio do crescimento na
42 66,981para tireoidite de Hashimoto
33 56,763para c›ncer papilar de tireoide
86 86,694para regula“‰o da gl›ndula tireoide
16 11,219para aumento menor da tireoide
56 16,921para testosterona baixa
11 23,526para gota
11 84,"744para regula“‰o da press‰o arterial, para uso em pressłes altas ou"
88 63,292para press‰o alta (hipertens‰o)
98 88,119para infarto do mioc⁄rdio como primeira linha de tratamento a
33 59,674para cardiomiopatia hipertrŠÞca
13 48,782para arritmia card™aca e distœrbio de ritmo com hemodin›mica
78 94,825para melhorar a fun“‰o cardiovascular
51 05,623para infec“‰o de ferida esternal
99 62,157para veias dif™ceis e coleta de sangue
08 12,706para lipedema (distribui“‰o anormal de gordura na parte inferior
40 20,"168para varizes, leves"
96 52,"881para varizes, moderadas a graves"
40 69,997para linfoma
51 61,987para mieloma mœltiplo
99 62,157para veias dif™ceis e coleta de sangue
69 78,551324 69para melhorar a contagem de glŠbulos brancos na
19 16,557para Pœrpura Trombocitop’nica Idiop⁄tica (PTI)
84 72,723para depend’ncia (tabaco)
99 61,553para curar toda a depend’ncia do fumo Ñ tabaco e op“łes sem-
13 31,213para alergias transmitidas pelo ar
31 27,459para mal de altitude
21 22 413,paraAsma
53 12,798para bronquite
15 51,600para displasia broncopulmonar do rec”m-nascido que ”
43 54,565para alergia a gatos
27 38,963para doen“a pulmonar obstrutiva crŽnica (DPOC)
11 72,844para aliviar a tosse
81 79,623para aliviar a tosse causada por efeito colateral de medicamentos
52 48,194para Þbrose c™stica
20 53,961para doen“a pulmonar intersticial
33 89,847para otimizar a fun“‰o das vias a”reas (trato respiratŠrio superior
87 65,423para diÞculdades respiratŠrias
25 56,551para diminuir as sequelas da apneia obstrutiva do sono
56 19,826para timoma (tumor da gl›ndula timo)
57 49,285para melhorar a fun“‰o pulmonar (bronqu™olos e par’nquima
25 19,632para infec“‰o respiratŠria superior (ITRS)
16 55,057para feridas que n‰o cicatrizam e/ou empiema
86 21,510para n⁄useas e vŽmitos pŠs-operatŠrios (NVPO)
92 03,179para anorexia de todas as causas
87 47,988para hepatite de origem viral e outras causas
22 35,966para hepatite C
56 59,327para h”rnia de hiato
26 11,351para f™gado gorduroso
81 52,931para f™gado gorduroso que est⁄ a caminho de causar cirrose Ñ
22 35,297para cirrose hep⁄tica
25 36,"591para varizes esof⁄gicas, ascite e outros sintomas de cirrose"
72 48,496para c›ncer de f™gado prim⁄rio Ñ carcinoma hepatocelular
45 39,373para pancreatite e suas sequelas
13 45,899para dor de estŽmago
87 45,675para diarreia muito forte
45 55,899para constipa“‰o
25 35,896para constipa“‰o crŽnica e de longa dura“‰o
25 36,983para c›ncer retal
42 53,899para Þns de equil™brio do intestino irrit⁄vel
33 37,"899para remo“‰o de parasitas, vermes e tamb”m anexos et”ricos/"
35 87,225para perda de apetite
25 65,993para obesidade mŠrbida e todas as suas sequelas
86 66,431para ßatul’ncia
25 59,"963para f™stulas ent”ricas do intestino para a bexiga, vagina, reto,"
27 55,362para reßuxo g⁄strico
38 97,143para doen“a cel™aca de longa data
46 11,615para doen“a cel™aca de in™cio recente
77 74,321para saœde digestiva
48 69,117para Colite Ulcerativa
56 59,853para pessoas que sofrem de dor ou n⁄usea apŠs cirurgia no
25 19,831para pessoas com ostomia terem for“a e uma perspectiva
14 82,825para aliviar cŠlicas estomacais
56 72,517para melhorar a fun“‰o da ves™cula biliar
56 78,917para ataque de ves™cula biliar (colecistite) e ves™cula biliar doen“a
15 73,991para diverticulose
59 892 345,78122para Colite por Clostridium DifÞcile
40 22,135para um aux™lio adicional com apendicite que est⁄ sendo tratada
15 35,796para œlcera p”ptica
16 18,215para h”rnia simples que ” facilmente reduzida
63 34,"831para pielite, inßama“‰o da pelve renal"
76 42,688para refor“o da fun“‰o renal
25 26,332para cistite intersticial
20 02,936para aqueles que est‰o em terapia de substitui“‰o renal Ñ ambos
25 19,831para pessoas com ostomia terem for“a e uma perspectiva
25 37,353para hipertroÞa prost⁄tica benigna
93 65,897para doen“a renal polic™stica
35 47,375para infec“‰o do trato urin⁄rio (ITU)
27 42,363para glomerulonefrite aguda
14 484 578,96231para doen“a renal em est⁄gio terminal (DRT)
11 12,121para o parto
56 11,518para infertilidade (se n‰o estiver no Contrato de Vida)
11 32,"899para sintomas de menstrua“‰o, incha“o, TPM, dor"
22 16,911para fraqueza menstrual
31 31,"798pr”-menopausa, perimenopausa e problemas da menopausa"
56 11,235para endometriose (grave)
83 83,"456para cistos ovarianos de todos os tipos, desde simples ou"
56 22,"161para doen“a dos ov⁄rios polic™sticos, em geral"
56 93,787para c›ncer de ov⁄rio metast⁄tico
23 42,197para infec“‰o por fungos
29 35 531,c›ncer uterinoÑendometrial
42 21,14444para aumentar a lacta“‰o (somente se estiver
55 16,112para ajudar os beb”s prematuros a prosperar se estiver no plano
15 51,600para displasia broncopulmonar do rec”m-nascido que ”
23 46,"721para aborto espont›neo, morte fetal e perda da gravidez Ñ este"
55 81,766para prolapso uterino ou atonia uterina no parto
01 22,427para cistocele e retocele de n™vel de gravidade leve a moderada
38 31,418
25 37,353para hipertroÞa prost⁄tica benigna
42 56,102para c›ncer de prŠstata
56 16,921para testosterona baixa
56 92,556para p’nis enterrado
56 11,291para seminoma (tumor seminomatoso)
16 18,215para h”rnia simples que ” facilmente reduzida
34 41,323para artrite e artrose
26 51,329para artrite Ñ doen“a articular degenerativa (DJD)
53 23,411para sarcŠide equino (n‰o tenho certeza se isso se aplica a
83 73,879para afec“łes reum⁄ticas
76 18,296para artrite reumatŠide
35 31,223para locais purulentos de inßama“‰o
44 34,135para œlcera diab”tica/infec“‰o dos p”s
33 45,634para danos celulares de qualquer tipo
44 57,678para cura de fraturas expostas quando a cirurgia n‰o ” dispon™vel
11 96,881para iniciar a cura de fraturas fechadas quando voc’ deve esperar
78 43,149para entorse
29 58,321para displasia cong’nita do quadril
86 47,890para ossos que est‰o cicatrizando mal
57 43,868para alinhar e endireitar a coluna
72 82,145para condi“łes causadas pela presen“a de v”rtebras extras
53 84,992para ruptura do Ligamento Cruzado Anterior (LCA)
72 52,594para restaurar a for“a de preens‰o (perda de preens‰o nas m‰os)
55 35,796para s™ndrome do tœnel do carpo
95 13,332para s™ndrome do tœnel do carpo que n‰o responde a 55 35 796
96 08,126para fascite plantar
88 45,"363para mœsculos doloridos, especialmente apŠs o exerc™cio"
13 81,478para auxiliar no relaxamento de mœsculos r™gidos
22 36,991para atroÞa
20 06,391para artrite psori⁄tica
81 74,311para eczema em geral
95 66,331para granulomatose de Wegener
56 15,327para s™ndrome da fadiga crŽnica
24 58,972para melhorar os sintomas da fadiga crŽnica
19 77,897para lœpus que ” diagnosticado precocemente Ñ para que n‰o
42 66,981para Tireoidite de Hashimoto
45 96,151para esclerose mœltipla em geral
19 86,116para esclerose mœltipla recorrente e remitente
57 56,931para miastenia gravis
86 11,"105para p’nÞgo vulgar, p’nÞgo foli⁄ceo, p’nÞgo paraneopl⁄sico"
29 89 596,125para dor de nervo comprimido (geral)
59 72 81,5534921 para dor no nervo vago
55 35,796para s™ndrome do tœnel do carpo
95 13,332para s™ndrome do tœnel do carpo que n‰o responde a 55 35 796
16 42,647para Þbromialgia misturada com outras condi“łes autoimunes
55 56,157para doen“a de Morgelloan
91 21 6798 52,69para transtorno de dor parox™stica extrema
33 45,634para danos celulares de qualquer tipo
35 31,223para locais purulentos de inßama“‰o
38 89,332para redu“‰o da febre
20 02,351para febre em crian“as
17 84,292para redu“‰o da febre em adultos
03 16,246para celulite aguda (a ser aplicada durante a procura por
59 892 345,78122para Colite por Clostridium DifÞcile
44 34,135para œlcera diab”tica/infec“‰o dos p”s
16 99,156para leptospirose
25 37,661para MRSA (Staphylococcus aureus resistente ‹ meticilina)
57 49,525para efeito antimicrobiano
45 82,531para 'olho rosa' Ñ conjuntivite grave e recorrente
86 21,516para febre Q
89 56,997para acelerar a recupera“‰o da faringite estreptocŠcica com
51 26,501para micetoma (incluindo actinomicetos e eumicetomas)
51 26,501para micetoma (incluindo actinomicetos e eumicetomas)
86 42,789para condi“łes e doen“as t™picas da inf›ncia (ver aviso legal)
21 79,865para aliviar os sintomas do resfriado para que voc’ possa
00 10,0010para HIV (v™rus da imunodeÞci’ncia humana)
64 32,179para mononucleose (e v™rus Epstein-Barr)
11 89,876para infec“‰o bacteriana
55 76,392para diminuir a gravidade deste surto de sarampo e de outros
55 65,792para raiva em humanos e animais quando n‰o h⁄ tratamento
21 798 21,69542para infec“‰o por Giardia (giard™ase)
99 61,542para choque s”ptico/SDRA
